Name,2020-adjusted,2021-adjusted,2022
Census Tract 1.01,"23,734.75","24,275.09","24,704"
Census Tract 1.02,"29,975","36,630.38","52,609"
Census Tract 2,"38,624.15","39,473.37","40,782"
Census Tract 3,"39,161.52","39,753.71","54,909"
Census Tract 4,"30,611.56","29,733.16","27,679"
Census Tract 5,"70,224.34","73,870.66","73,984"
Census Tract 6,"80,482.33","70,179.16","65,139"
Census Tract 7,"59,193.54","60,053.75","56,750"
Census Tract 8.01,"29,804.96",,-
Census Tract 8.02,"25,248.76","27,401.63","26,071"
Census Tract 9,"19,398.73","17,634.67","19,229"
Census Tract 10,"54,926.19","57,820.66","54,531"
Census Tract 11,"36,893.23","43,171.29","34,665"
Census Tract 13,"41,018.88","37,258.47","43,563"
Census Tract 14,"38,604.53","39,370.65","58,232"
Census Tract 15,"44,054.53","47,252.27","48,737"
Census Tract 16,"45,702.61","49,365.52","47,981"
Census Tract 17,"60,903.75","56,051.95","55,841"
Census Tract 18,"21,035.91","20,366.38","21,013"
Census Tract 19,"31,299.35","32,408.16","32,779"
Census Tract 20.01,"38,332.03","42,408.38","45,217"
Census Tract 20.02,"59,651.34","59,781.97","65,296"
Census Tract 22,"56,215.66","70,887.5","78,281"
Census Tract 23.02,"69,220.45","65,141.6","65,854"
Census Tract 23.03,"63,676.71","58,546.12","52,955"
Census Tract 23.04,"199,723.97","228,425.74","209,097"
Census Tract 24,"61,522.87","62,689.16","63,683"
Census Tract 25,"55,309.87","55,740.58","56,633"
Census Tract 26,"60,447.04","60,686.12","60,813"
Census Tract 27,"53,244.32","58,136.31","54,935"
Census Tract 28,"79,549.29","89,495.87","89,625"
Census Tract 29,"75,313.55","83,364.77","83,340"
Census Tract 30,"52,394.12","46,704.43","58,271"
Census Tract 31.01,"43,470.29","53,093.4","70,184"
Census Tract 31.02,"70,441.25","67,945","65,962"
Census Tract 32.01,"68,864.02","70,620","72,429"
Census Tract 32.02,"50,341.65","51,279.75","54,684"
Census Tract 33,"35,064.21","50,323.17","55,544"
Census Tract 34.02,"55,581.28","57,466.49","57,123"
Census Tract 34.04,"41,118.07","38,664.45","31,117"
Census Tract 34.05,"52,817.04","55,914.99","58,193"
Census Tract 34.06,"60,187.62","64,179.67","64,213"
Census Tract 34.07,"68,538.11","71,573.37","67,606"
Census Tract 35.01,"54,807.38","51,384.61","49,475"
Census Tract 35.03,"45,431.2","45,568.09","39,706"
Census Tract 35.04,"42,559.05","41,508.51","44,125"
Census Tract 36,"99,431.98","112,717.01","114,802"
Census Tract 37.01,"132,928.77","138,629.2","143,214"
Census Tract 37.02,"82,486.84","84,795.36","85,061"
Census Tract 37.03,"83,692.38","84,625.23","86,623"
Census Tract 37.04,"93,501.29","93,799.41","94,436"
Census Tract 38.02,"75,746.28","76,989.71","77,237"
Census Tract 38.03,"83,137.57","82,797.67","82,074"
Census Tract 38.04,"46,549.54","46,754.72","48,647"
Census Tract 39.06,"116,927.57","108,508.7","113,333"
Census Tract 39.08,"96,702.62","99,613.79","95,045"
Census Tract 39.09,"63,418.38","64,143.29","67,254"
Census Tract 39.10,"48,709.92","50,323.17","55,321"
Census Tract 39.11,"42,354.13","43,067.5","46,090"
Census Tract 39.12,"70,517.55","69,844.25","77,537"
Census Tract 39.13,"127,605.21","137,795.67","140,755"
Census Tract 39.14,"75,671.07","73,116.31","72,938"
Census Tract 39.15,"126,872.73","124,702.08","126,806"
Census Tract 39.16,"149,988.36","155,372.56","167,750"
Census Tract 39.17,"75,885.8","88,731.89","84,013"
Census Tract 39.18,"98,748.55","109,526.27","84,957"
Census Tract 40.01,"46,142.97","51,634.99","54,697"
Census Tract 40.03,"59,773.42","60,715.01","52,763"
Census Tract 40.05,"136,553.02","121,815.22","122,344"
Census Tract 40.06,"228,445.47","222,754.74","216,607"
Census Tract 40.07,"99,215.07","102,668.64","105,833"
Census Tract 41.03,"60,886.31","55,475.22","56,000"
Census Tract 41.04,"50,881.2","46,620.97","44,703"
Census Tract 41.05,"103,173.95","97,882.53","100,083"
Census Tract 41.06,"108,884.46","113,451.03","112,197"
Census Tract 41.07,"132,026.25","123,823.61","127,245"
Census Tract 42.04,"67,443.75","68,898.37","68,655"
Census Tract 42.05,"105,684.22","108,623.19","123,424"
Census Tract 42.07,"143,095.2","157,038.55","140,769"
Census Tract 42.08,"115,384.13","120,074.33","122,121"
Census Tract 42.09,"87,343.88","90,269.48","89,738"
Census Tract 42.10,"73,715.61","82,074.35","86,480"